recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_lemma
1,11,-2.3978952727983707,0.5,-0.5,0.4223313332,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.3650977612,-0.5,pay
1,2,-0.6931471805599453,0.5,-0.5,-0.1661908627,-0.5,send
1,3,-1.0986122886681098,0.5,-0.5,0.043186903,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,0.06664466858,-0.5,give
1,1,0.0,0.5,0.5,-1.360723972,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.34842062,-0.5,read
1,7,-1.9459101490553135,0.5,-0.5,0.07283091545,-0.5,give
1,1,0.0,0.5,-0.5,0.1252458096,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.1353321075,-0.5,offer
1,2,-0.6931471805599453,0.5,-0.5,0.5387024879,-0.5,give
1,1,0.0,0.5,0.5,0.5628163815,-0.5,tell
1,8,-2.0794415416798357,0.5,-0.5,0.8945930004,-0.5,show
1,3,-1.0986122886681098,0.5,-0.5,-0.723903656,-0.5,find
1,2,-0.6931471805599453,0.5,-0.5,-0.3483366966,-0.5,throw
1,2,-0.6931471805599453,0.5,-0.5,0.1065249443,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.5299963951,-0.5,lend
1,6,-1.791759469228055,0.5,-0.5,0.6050219536,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.06674838066,-0.5,give
1,1,0.0,0.5,0.5,0.3434163332,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.6078350544,-0.5,give
1,13,-2.5649493574615367,0.5,-0.5,0.2277445793,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2921352386,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,-0.5926766396,-0.5,throw
1,2,-0.6931471805599453,0.5,-0.5,0.05760622025,-0.5,pay
1,2,-0.6931471805599453,0.5,-0.5,0.3837237358,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1254453659,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,0.02145814896,-0.5,loan
1,3,-1.0986122886681098,0.5,-0.5,0.1657114029,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.09377861023,-0.5,give
1,2,-0.6931471805599453,0.5,0.5,-0.09042596817,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.8882050514,-0.5,leave
1,1,0.0,0.5,0.5,0.7792191505,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,-0.04471182823,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.2867455482,-0.5,get
1,2,-0.6931471805599453,0.5,-0.5,-0.3382387161,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.03914570808,-0.5,ask
1,2,-0.6931471805599453,0.5,-0.5,-0.5307285786,-0.5,find
1,2,-0.6931471805599453,0.5,-0.5,0.1689872742,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.7988476753,-0.5,give
1,7,-1.9459101490553135,0.5,-0.5,0.6391739845,-0.5,tell
1,3,-1.0986122886681098,0.5,-0.5,-0.03158092499,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.3395774364,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.253503561,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.350599885,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2529959679,-0.5,feed
1,2,-0.6931471805599453,0.5,-0.5,0.4873688221,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1084268093,-0.5,tell
1,9,-2.1972245773362196,0.5,-0.5,0.09024047852,-0.5,award
1,3,-1.0986122886681098,0.5,-0.5,-0.2242453098,-0.5,build
1,2,-0.6931471805599453,0.5,-0.5,-0.4360032082,-0.5,read
1,3,-1.0986122886681098,0.5,-0.5,1.459198952,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,-0.7206463814,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.2309970856,-0.5,give
1,25,-3.2188758248682006,0.5,-0.5,0.1535131931,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.1804876328,-0.5,lend
1,1,0.0,0.5,-0.5,0.5755782127,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.8498620987,-0.5,tell
1,2,-0.6931471805599453,0.5,-0.5,0.06330156326,-0.5,pay
1,3,-1.0986122886681098,0.5,-0.5,0.03428578377,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1227297783,-0.5,give
1,1,0.0,0.5,-0.5,0.002782821655,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,-1.951851368,-0.5,give
1,1,0.0,0.5,0.5,1.061598063,-0.5,tell
1,1,0.0,0.5,0.5,-0.02409291267,-0.5,give
1,1,0.0,0.5,-0.5,-0.1502935886,-0.5,pay
1,3,-1.0986122886681098,0.5,-0.5,0.1566951275,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.1629536152,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.005897521973,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,0.1369869709,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,0.0374789238,-0.5,give
1,6,-1.791759469228055,0.5,-0.5,-0.1774725914,-0.5,give
1,3,-1.0986122886681098,0.5,-0.5,0.4220819473,-0.5,ask
1,6,-1.791759469228055,0.5,-0.5,0.8070478439,-0.5,give
1,5,-1.6094379124341003,0.5,0.5,0.2834300995,-0.5,get
1,1,0.0,0.5,-0.5,0.03474617004,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.3854422569,-0.5,buy
1,2,-0.6931471805599453,0.5,-0.5,-0.05188560486,-0.5,sell
1,2,-0.6931471805599453,0.5,-0.5,-0.01703453064,-0.5,bring
1,2,-0.6931471805599453,0.5,-0.5,1.182309628,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,-0.1718649864,-0.5,bring
1,3,-1.0986122886681098,0.5,-0.5,0.01316213608,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.7002837658,-0.5,give
1,1,0.0,0.5,-0.5,0.1838135719,-0.5,give
1,2,-0.6931471805599453,0.5,-0.5,0.2265450954,-0.5,give
1,1,0.0,0.5,0.5,-0.9626686573,-0.5,give
1,4,-1.3862943611198906,0.5,-0.5,-0.04404497147,-0.5,make
1,1,0.0,0.5,0.5,0.04608225822,-0.5,buy
1,2,-0.6931471805599453,0.5,-0.5,0.3765764236,-0.5,lend
